,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
145065,433675,I'm serious.,I'm serious.,I mean it. I'm serious.,I am serious.,I am serious.,It's my seriousness. | I mean it seriously.,I'm serious. | Seriously. | I'm not kidding.,I'm serious. I'm serious. I'm serious. I'm serious.,i'm serious.,I'm serious.,I'm serious.,I am serious. | I am serious.,I'm serious.,I'm serious. | I'm serious. | Seriously.
145067,433680,That's enough.,That's enough.It's enough.,That's enough. | That's enough.,Don't move! | Stop it now! | Let it be!,That's enough! | That's enough! | Stop! | That's enough. | That's enough. | That's enough.,That's enough. | That's enough. | That's enough! | That's enough.,Enough and enough. | Enough.,That's enough. | That's enough. | That's enough.,let's do a good reduction.,That's enough.,| That's enough. | That's enough!,That is enough. | That is enough.,Enough. | That's enough. | That's enough. | Enough.,Enough. | Enough! | Enough.
145070,433689,Did you call?,Did you make a phone call?,Did you ride? | Did you ride?,Did you?,Did you call? | Did you call?,Did you call?,Did you call? | Did you call? | Did you call? | Did you call?,Did you call? Did she call? Did you call? Did you call? Did she call? Did you call?,what's your name?,Did you call?,You called? | You called? | You called?,Did you call?,Arad?,Did you call? | Did you call?
145093,433730,Of course!,Of course! | Of course!,Of course! | Of course! | Yes.,Of course! | Of course! | Of course! | Of course!,Of course! | But hey! | Of course. | Pardi!,"Of course! | Of course! | Of course! | Well, of course! | But of course!",Of course! | Of course! | Of course!,Sure! | Sure!,of course! of course! of course. of course. of course.,Of course!,Of course!,Certainly so! | Of course!,Of course! | Of course!,Of course! | Absolutely! | Well of course! | Of course!
145099,433745,Don't worry about it.,Don't worry about it.Don't worry about it.Don't worry about it.Don't worry about it.,"Don't worry. | Don't worry. | Don't touch it. | Don't worry, listen.",Don't worry about it! | Don't worry about it. | Don't worry about it!,Don't worry about it. | Don't worry about it! | Don't worry about it. | Don't worry about it. | Don't worry about it! | Don't worry about it!,Don't worry about it. | Don't worry about it! | Don't think about it! | Don't worry about it! | Don't worry about it!,Don't worry about that. | That's not your concern!,Don't worry. Don't worry about it. Don't worry about it.,Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry about that. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry. | Don't worry.,Don't worry about it.,Don't worry about it. | Don't worry about it. | You can't worry.,Don't worry about it. | Don't worry about it.,Don't worry about that. | Don't blame him.,Don't worry about it. | Don't worry about it. | Don't worry about it.
145100,433754,Follow him.,Follow him.,Follow him. | Follow him!,Follow him.,Follow it! | Follow it!,Follow him!,Follow him. | Follow him. | Follow him. | Go after him. | Follow him. | Follow him. | Follow him. | Follow me. | Follow me. | Follow me.,Follow him. | Follow him. | Follow him.,put it back.,Follow him. | Follow him.,Follow him. | Follow him. | Follow him. | Follow him. | Follow him.,Please provide information on the measures taken by the State party to implement the Convention on the Elimination of All Forms of Discrimination against Women and the Convention on the Rights of the Child.,Follow him. | Follow him. | Follow him.,Follow him.
145112,433809,I'm very hungry.,I am very hungry.I am very hungry.,I'm starving.,I am very hungry.,I am hungry for a wolf. | I am very hungry. | I have the board. | I have the rows.,I am very hungry. | I am very hungry.,I'm very hungry. | I'm very hungry. | I'm very hungry. | I'm very hungry.,I'm very hungry.,I'm really hungry. | I've lost a lot of weight. | I'm really hungry. | I'm really hungry. | I'm really hungry. | I'm really hungry. | I'm really hungry. | I'm really hungry. | I'm really hungry. | I'm really hungry. | I'm really hungry.,I am very hungry.,I am very hungry. | I am very hungry. | I am very hungry.,I am very hungry. | I am very hungry.,I'm very open. | My hand is very open. | I'm very hungry. | I'm very open.,I'm very hungry. | I'm very hungry. | I really want to eat.
145121,433849,Speak clearly.,It's clear.,Be clear.,You speak clearly.,| Speak clearly. | Speak distinctly. | Speak clearly!,| Speak clearly!,Clearly.,Speak clearly. | Speak clearly. | Speak clearly. | Speak clearly. | Speak clearly.,speak clearly.,Speak clearly.,Speak clearly. | Speak clearly. | Speak clearly. | Speak clearly. | Speak clearly.,Speak clearly. | Speak clearly. | Speak clearly. | Speak clearly.,Talk openly. | Talk openly.,He speaks clearly.
145123,433859,I've had enough.,I'm tired of it. I'm tired of it.,I have enough of it. | I've had enough of it.,Don't move! | Stop it now! | Let it be!,I have enough of it. | I have enough of it. | It is good. | It is enough. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it. | I have enough of it.,I have the nose full of it. | I have the faxes thick. | I have enough! | I had enough. | I am served.,It was enough for me. | I was fed up. | Water came to my mouth. | I was fed up. | I was fed up. | I was fed up. | I had enough.,I've had enough. | I've had enough.,I got enough. | It's already a lot. | It's already a lot. | It's already a lot. | It's already a lot!,I have enough.,With me enough. | With me enough. | I'm already fed.,I have had enough. | Sufficient. | You have had enough. | I am tired. | I am tired.,That's enough. | From me.,I've had enough.
145124,433863,I'm full.,I'm fed up.,I'm full. | I'm full.,I am full.,I'm found! | I'm relieved!,I'm hungry.,I'm full. I'm full. I'm seven. I'm seven.,I'm full. I'm full. I'm full. I'm full. I'm full.,I'm already full. | I'm full. | I'm full. | I'm full. | Thank you very much.,I am full.,I've eaten! | I've eaten. | I've eaten. | I've eaten. | I've eaten.,I'm full. | I'm full. | I've already taken it.,Tokum. | I am a tokum!,I'm strong. | I'm not hungry. | I'm hungry. | I'm hungry. | I'm strong.
145218,434224,Anything else?,Is there anything else?,Something else? | Something else?,Anything else?,What else?,Anything else?,Anything else?,Anything else?,Is there anything else?,What else?,Anything else?,More?,Is there anything else? | Something else?,Anything else?
145227,434242,Are you hungry?,Are you hungry? Are you hungry,Are you hungry? | Are you hungry? | Are you hungry?,Are you hungry? Are you hungry? Are you hungry? Are you hungry?,Are you hungry? | Are you hungry? | Have you been hungry? | Have you been hungry? | Are you hungry? | Are you hungry?,Are you hungry? | Are they hungry? | Are you hungry? | Are you hungry?,Are you hungry?,Are you hungry? Are you hungry? Are you hungry? Are you hungry? Is he hungry? Is he hungry? Are you hungry? Are you hungry? Are you hungry? Are you hungry? Is she hungry? Are you hungry? Are you hungry? Are you hungry? Is she hungry? Is she hungry? Are you hungry? Are you hungry?,Are you hungry? | Are you hungry? | Are you hungry? | Are you hungry? | Are you hungry?,Are you hungry?,Are you hungry? Are you hungry? Are you hungry? Do you want to eat? Are you hungry? Are you hungry? Are you hungry? Do you want to eat?,Are you hungry? | Are you hungry? | Are you hungry?,Are you open?,Are you hungry? | Are you hungry? | Are you hungry? | Are you hungry?
145232,434258,Are you thirsty?,Are you thirsty?,Do you have a fever? | Do you have a fever? | Do you have a fever?,Do you have enough? | Do you have enough?,Do you feel pain? | Do you feel pain? | Do you feel pain? | Do you feel pain?,Are you thirsty? | Are you thirsty? | Are you thirsty?,Are you hungry? | Are you hungry? | Are you hungry?,Are you thirsty? Are you thirsty? Are you thirsty?,you're thirsty?,Do you want to drink?,Do you want to drink? | Do you want to drink? | Do you want to drink? | Do you want to drink?,Do you have a seat?,Susadin?,Are you drunk? | Do you want to drink? | Do you want to drink? | Do you want to drink? | Do you want to drink?
145302,434410,Can you help me?,Can you help me? Can you help me? Can you help me?,Can you help me? | Can you help me?,Can you help me? | Can you help me?,Can you help me? | Can you help me? | Can you help me? | Can you help me? | Can you help me?,Can you help me? | Can you help me? | Can you help me?,Can you help me? | Can you help me? | Can you help me? | Can you help me? | Can you help me?,Can you help me? Can you help me? Can he help me? Can you help me? Can he help me? Can you help me? Can you help me?,Can you help me? | Can you help me? | Can you help me?,Can you help me? | Can you help me?,Can't you help me? Can you help me? Can you help me? Can you help me? Can't you help me? Can you help me?,Can you help me? | Can you help me? | Can you help me? | Can you help me?,Can you help me?,Can you help me? | Can you help me?
145324,434458,Come with me.,Go with me.,Come with me. | Come with me!,Come with me. | Come with me.,Come with me. | Come with me. | Join me.,Come with me. | Come with me! | Come with me. | Come with me.,Come with me.,Come with me. | Come with me. | Come with me.,Come with me. | Come with me. | Come about me. | Come with me.,Come with me.,Come with me. | Come with me. | Come with me! | Come with me! | Come with me.,Come with me. | Come with me. | Come with me. | Come. | Come. | Come.,Come with me. | Come with me. | Come with me.,Come with me. | Come with me.
