,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
206742,1205289,Welcome to Tatoeba!,Welcome to Tatoeba. Welcome to Tatoeba! Welcome to Tatoeba!,Welcome to Tatoeba.  Welcome to Tatoeba.  Welcome to Tatoeba.  Welcome to Tatoeba!  Welcome to Tatoeba!  Welcome to Tatoeba!  Welcome to Tatoeba!  Welcome to Tatoeba!,Welcome to Tatoeba. Welcome to Tatoeba!,Welcome to Tatoeba! Welcome to Tatoeba!
207737,1222816,Horses are animals.,Horses are animals.,Horses are animals. The horse is an animal.,Horses are animals.,Horses are animals.
209573,1258802,Why did she do that?,Why would she do that? Why would she do that? Why would she do that? Why would she do that?,Why did you do that?,Why did he do that?,Why did she do it?
209642,1260118,He's in the kitchen.,He's in the kitchen.,He's in the kitchen. He's in the kitchen.,He is in the kitchen. He is in the kitchen.,It's in the kitchen.
210112,1276135,This bird can't fly.,This bird can't fly. This bird can't fly.,This bird can't fly. This bird can't fly. That bird can't fly. That bird doesn't fly.,This bird can't fly.,This bird can't fly.
210140,1276904,I have already finished reading this book.,I've already finished reading this book. ♪ I've already finished reading this book. ♪ I've already finished reading this book.,I have finished reading this book. I have finished reading this book. I have finished reading this book.,I've already finished reading this book.,I have already finished reading this book.
210311,1283955,That's a lie!,That's a lie!,That's a lie! A lie! A lie! A lie!,That's a lie!,That's a lie!
210362,1285500,The apple doesn't fall far from the tree.,The apple doesn't fall far from the apple. ♪ The apple doesn't fall far from the apple.,The apple does not fall far from the tree.,The apple falls to the bottom of the branch.,The apple does not fall far from the tree.
210564,1292208,Don't wait.,Don't wait. Don't wait.,Don't wait! Don't wait! Don't wait.,Don't wait.,Don't wait.
210887,1299275,Oh no!,Nay!,"Oh, no!",Oh no!,"Oh, no!"
210992,1300736,Follow that car.,Follow that car. ♪ Follow that car. ♪ Follow that car. ♪ Follow that car. ♪ Follow that car. ♪ Follow that car.,Follow that car.,Follow that car.,Follow that car.
211002,1300804,I was at home.,I was home. I was home.,I was home.,I was at home.,I was home.
211013,1300904,"She has about 2,000 books.","She has about 2,000 books.","She has about 2,000 books.","He has about 2,000 books.","She has about 2,000 books."
211377,1308427,Is it far?,Is it far? ♪ How far is it? ♪ How far is it?,Is it far?,Is it far?,Is it far?
212376,1327057,Seriously?,Really?,Really?,"Really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really?",Really?
212604,1331062,I like horses.,I love horses.,I like horses.,I like horses.,I like horses.
213429,1342184,Disgusting!,That's disgusting!,Gross!,Gross.,Disgusting!
213650,1343997,Why do you love me?,Why do you love me?,Why do you love me?  Why do you love me?  Why do you love me?  Why do you love me?  Why do you love me?,Why do you love me?,Why do you love me?.................. why do you love me?..... why do you love me?
214904,1359933,As you wish.,As you wish. As you wish. As you wish.,As you wish.,As you wish!,Whatever you want.
215478,1369314,I have just finished eating.,I just finished eating. ♪ I just ate.,I just finished eating.,I just finished dinner.,I've just finished eating.
215598,1370839,I want to eat ice cream.,I want to eat ice cream.,I want to eat ice cream.,I want to eat ice cream.,I want ice cream.
215735,1383444,He's a DJ.,He's a DJ.,He's a DJ.,He's a DJ.,He's a DJ.
215944,1387288,What are you waiting for?,What are you waiting for? What are you waiting for?,What are you waiting for?  What are you waiting for?  What are you waiting for?  What are you waiting for?,What are you waiting for?,What are you waiting for?
216431,1394814,Hold the ball with both hands.,Hold the ball with both hands. Hold the ball with both hands. Hold the ball with two hands. Hold the ball with two hands.,Hold the ball with both hands.,Hold the ball with both hands.,Hold the ball with both hands.
216537,1396177,I'm afraid of dogs.,I'm afraid of dogs.,I'm afraid of dogs. I'm afraid of dogs.,I'm afraid of dogs.,I'm afraid of dogs.
216548,1396235,She wants to know who sent the flowers.,She wants to know who sent the flowers.,She wants to know who sent her the flowers.,He wants to know who sent the flowers.,She wants to know who sent the flowers.
216560,1396333,It's already eleven.,It's 11:00.,It's already 11:00.,It is already eleven o'clock.,It's already 11 o'clock.
216601,1396428,You look just like your older brother.,You look just like your older brother. You look like your older brother. You look very much like your older brother. You look very much like your older brother.,You're just like your older brother.,You look just like your brother.,You look a lot like your older brother.
216827,1399479,Burj Khalifa is currently the tallest skyscraper in the world.,Burj-Khalifa is currently the highest skyscraper in the world.,The Burj Khalifa is currently the highest skyscraper in the world.  The Burj Khalifa is currently the highest skyscraper in the world.  The Burj Khalifa is currently the highest skyscraper in the world.,"For now, the Zodiac Caliph is the tallest skyscraper in the world.",Burj Khalifa is now the tallest skyscraper in the world.
217712,1417464,Are you coming?,Are you coming? ♪ Are you coming? ♪ You're coming? ♪ You're coming? ♪ You're coming? ♪ You're coming?,Will you come?  Will you come?,Are you coming?,Are you leaving?
218072,1423299,"In Japan, the new school year begins in April.","In Japan, the new school year begins in April.","In Japan the new school year begins in April. In Japan, the new school year begins in April.","In Japan, the new school year begins in April.",In Japan a new school year begins in April.
218529,1435651,It rained.,It was raining.,It rained.,It rained.,It was raining.
219095,1442219,She disappeared.,She's gone. She's gone.,She disappeared.,He's lost.,She's gone.
219405,1446280,He also speaks French.,He speaks French as well. He speaks French as well.,He also speaks French.,He can also speak French.,He also speaks French.
219409,1446444,Something happened.,Something's wrong.,Something happened.,Something happened.,Something happened.
220201,1458036,Today is Wednesday.,It's Wednesday.,Today is Wednesday.,It's Wednesday.,It's Wednesday.
221956,1486456,Be patient.,Be patient. Be patient. Be patient.,Be patient.,Be patient.,Have patience.
222335,1488808,Tom was crying.,Tom cried.,Tom was crying.,Tom was crying.,Tom cried.
223223,1495917,Eat slowly.,Eat slowly. Eat slowly. Eat slowly. Eat slowly. Eat slowly.,Eat slowly.,Eat slowly.,Eat slowly.
225703,1531064,Tom nodded.,Tom nodded. Tom nodded his head.,Tom nodded.,Tom nodded.,Tom nodded.
227491,1553393,Step back.,Take a step back.,Step back.,Take a step back. Take a moment to think. Take a step back.,Stand back.
227624,1553532,Call me.,Call me. Call me. Call me.,Call me. Call me. Call me.,Call me.,Call me.
227821,1556167,We know.,We know. We know. We know.,We know. We know.,We know.,We know.
231006,1627336,Welcome back.,Welcome back.,Welcome back. Welcome back.,Welcome back.,Welcome back!
233097,1660856,Tom is taking a shower.,Tom is taking a shower.,Tom's taking a bath.,Tom is taking a shower.,Tom is taking a shower.
236777,1722133,Relax.,Let it go. ♪ Forget it! ♪ Relax. ♪ Relax. ♪ Relax.,Relax. Take it with soda.,Relax.,Come on!
237610,1730009,Call home!,Call home. ♪ Call home. ♪ Call home.,Call home!,Search the house!,Call home!
237953,1738962,Stop reading.,Stop reading. Stop reading.,Stop reading. Stop reading.,Stop reading.,Stop reading.
242693,1802121,Speak!,Talk!,Speak! Speak! Speak! Speak! Speak!,Speak!,Speak!
242828,1804273,Look!,Look! Look! Look!,"Look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look, look!",Look!,Look!
243443,1815066,Keep reading.,Read more. Read more. Continue reading.,Keep reading.,Keep reading.,Keep reading. ❏ Keep reading. ❏ Keep reading.
245105,1830623,Horses eat grass.,Horses eat grass. ♪ Horses eat grass. ♪ Horses eat grass.,Horses eat weed.,Horses eat grass.,Horses eat grass.
245942,1841177,Hurry home.,Hurry home!,"Quick, home. Run, go home.",Hurry home.,Hurry home.
245945,1841180,Release him.,Release him.,Release him.,Release him. Release him.,Release him.
245953,1841188,Wait here.,Wait here. ♪ Wait here. ♪ Wait here. ♪ Wait here. ♪ Wait here. ♪ Wait here.,Wait here. wait here. wait here. wait here. wait here. wait here.,Wait here.,Wait here.
246160,1841588,See you later.,I'll see you later.,We're seeing each other.,See you later.,I'll see you later!
247598,1860499,Don't die.,Don't die. Don't die!,Don't die! Don't die. Don't die.,Don't die.,Don't die.
248927,1868480,Ignore Tom.,Ignore Tom. ♪ Don't pay attention to Tom. ♪ Don't pay attention to Tom.,Ignore Tom.,Ignore Tom.,Don't pay any attention to Tom.
249534,1876041,Thank you.,Thank you! Thank you. Thank you. Thank you.,Thank you! Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you.,Thank you.,Thank you.
250870,1886145,Did you kill Tom?,Did you kill Tom? Did you kill Tom? Did you kill Tom?,You killed Tom?,Did you kill Tom?,Did you kill Tom?
252009,1887384,I have to go.,I have to go. I have to go.,I have to go. I have to go. I have to go. I have to leave you.,I have to go.,I have to go.
253023,1891110,I'm ready.,I'm ready. I'm ready.,I'm ready.,I'm ready. I'm ready.,I'm ready.
253352,1893706,We understand.,We understand. We understand.,We get it.,We understand.,We understand.
255544,1913083,How beautiful!,It's beautiful!,That's nice!,How beautiful!,How beautiful!
255547,1913086,How lovely!,That's cute!,It's beautiful! It's lovely! It's beautiful!,How cute!,That's lovely!
255548,1913087,Keep it.,Keep it. Keep it. Keep it. Keep it.,Put it away.,Hide it.,Keep that for yourself.
255550,1913089,Take it.,Take it. Take it. Take it. Take it. Take it.,Get it. Get it!,It's all yours.,Take it.
255553,1913092,How strange!,That's weird!,That's weird. That's weird.,How strange!,How odd!
255648,1916313,Call us.,Call us. Call us. Call us.,Call us.,Call us.,Call us.
255649,1916314,Be nice.,Be nice.,Be nice.,Be gentle.,Be nice.
255980,1924560,I'm old.,I'm old. I'm old.,I'm old.,I'm old.,I'm old.
258643,1954263,Ask Tom.,Ask Tom. Ask Tom. Ask Tom. Ask Tom.,Ask Tom.,Ask Tom.,Ask Tom.  again to ask Tom.  fucking ask Tom.
258645,1954265,Be still.,Calm down.,Don't move.,Calm down!,Don't move.
260956,1972633,Get Tom.,Bring Tom.,Grab Tom.,Get Tom.,Bring Tom in. © Bring Tom in.
260962,1972639,Grab Tom.,Grab Tom.,Hold Tom.,Get Tom.,Get Tom.
260972,1972649,Show me.,Show me! Show me! Show me. Show me. Show me. Show me. Show me.,Show me. Show me.  Show me.  Show me.  Show me.,Show me.,Show me.
262588,2005179,Tom lied.,Tom lied. Tom lied.,Tom lied.,Tom lied.,Tom lied.
262589,2005180,Tom lost.,Tom lost.,Tom lost.,Tom has disappeared.,Tom lost.
262590,2005181,Tom moved.,Tom moved. Tom moved.,Tom moved. Tom moved.,Tom moved out.,Tom moved.
262592,2005183,Tom quit.,Tom quit.,Tom quit.,Tom has left.,Tom walked out. ▪ Tom quit his job.
262593,2005184,Tom smiled.,Tom smiled.,Tom smiled.,Tom smiled.,Tom smiled.
262594,2005185,Tom waved.,Tom waved his hand.,Tom said hi.,Tom waved.,Tom waved.
262595,2005186,Tom yawned.,Tom sang.,Tom yawned.,Tom yawned.,Tom yawned.
262596,2005187,Who died?,Who died?,Who died?,Who died?,Who died?
262597,2005188,Tom died.,Tom died.,Tom's dead. Tom's dead.,Tom is dead.,Tom died.
262599,2005190,Who won?,Who won? Who won?,Who won?,Who won?,Who won?
262600,2005191,Tom won.,Tom won. Tom won.,Tom won.,Tom won.,Tom won. יהוה Tom won. יהוה Tom won.
262601,2005192,I won!,I won! ♪ I won! ♪ I won! ♪ I won! ♪ I won!,I won!,I won!,I won!
263575,2007928,Let's start.,Here we go.,Let's get started.,Let's get started.,Here we go.
272344,2057650,Thanks.,Thank you!,Thank you!,Thank you. Thank you.,Thank you very much.
273911,2079905,Mars has two moons.,Mars has two satellites. ♪ Mars has two satellites. ♪ Mars has two moons.,Mars has two moons.,Mars has two moons.,Mars has two moons.
274083,2083030,Who?,Who?,Who?,Who?,Who?
275599,2107594,Tom's sick.,Tom is sick. Tom is sick.,Tom's sick.,Tom is sick.,Tom is sick. &amp;gt;&amp;gt;: &amp;gt;&amp;gt;: Tom is sick. &amp;gt;&amp;gt;: &amp;gt;: &amp;gt;&amp;gt;: &amp;gt;&amp;gt;: &amp;gt;&amp;gt;: &amp;gt;&amp;gt;:
275672,2107667,We overslept.,We slept through.,We fell asleep. We slept too much.,We fell asleep.,We slept.
275762,2111159,Tom laughed.,Tom laughed. Tom laughed.,Tom laughed.,Tom laughed.,Tom laughed. &gt;&gt; Tom laughed. &gt;&gt; (Laughter) &gt;&gt; Tom laughed. &gt;&gt;:
275773,2111170,Tom graduated.,Tom graduated from university.,Tom received it. Tom graduated.,Tom graduated.,Tom graduated from high school.
