,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
206742,1205289,Welcome to Tatoeba!,Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba Welcome to Tatoeba,Welcome to Tatoeba!,Welcome to Tatoeba!! Welcome to Tatoeba! Welcome to Tatoeba!,Welcome to Tatoeba. Welcome to Tatoeba. Welcome to Tatoeba! Welcome to Tatoeba! Welcome to Tatoeba!
207737,1222816,Horses are animals.,Horses are animals.,Horses are animals.,Horses are animals; a horse is an animal; a horse is an animal; a horse is an animal; a horse is an animal.,Horses are animals. A horse is an animal.
209573,1258802,Why did she do that?,Why did she do that?,Why would he do that?,Why did she do that?,Why did she do that?
209642,1260118,He's in the kitchen.,He's in the kitchen.,He's in the kitchen.,He's in the kitchen.,He's in the kitchen.
210112,1276135,This bird can't fly.,This bird can't fly.,"This bird can't fly, this bird can't fly, this bird can't fly.","This bird can't fly, this bird can't fly.",This bird can't fly.
210140,1276904,I have already finished reading this book.,I've already finished this book.,I've already finished reading this book.,I've already finished reading this book.,I've already finished reading this book. I've already finished reading this book.
210311,1283955,That's a lie!,What a lie!,Don't lie to me!,That's a lie!,That's a lie!
210362,1285500,The apple doesn't fall far from the tree.,The apple doesn't fall far from the tree.,An apple doesn't fall far from a tree.,The fruit never falls far from the tree; the apple does not fall far from the trunk.,The apple doesn't fall far from the trunk.
210564,1292208,Don't wait.,Don't wait.,Don't wait.,Don't wait!,Don't wait! Don't wait! Don't wait!
210887,1299275,Oh no!,"Oh, no, no, no, no!","Oh, no!","Oh, no!","Oh, no!"
210992,1300736,Follow that car.,Follow that car.,Follow that car.. Follow that car.,Follow this car.: Follow this car.: Follow this car!,Follow this car. Follow this car. Follow this car. Follow this car. Follow this car. Follow this car. Follow this car.
211002,1300804,I was at home.,I was home.,I was at home.,"I was at home, I was at home, I was at the apartment.",I was at home. I was at home. I was at home.
211013,1300904,"She has about 2,000 books.","She's got about 2,000 books.","He's got about 2,000 books.","It has about 2,000 books.",She has about two thousand books.
211377,1308427,Is it far?,Is that far?,Is it far?,Is it far away?What's far away?,Is that far?
212376,1327057,Seriously?,Really?,Really?,Is it serious?:?: Really?::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,Really? real? serious? serious? serious? real? real? real? real now?
212604,1331062,I like horses.,I love horses.,I like horses. I like horses.,I like horses.,I like horses.
213429,1342184,Disgusting!,That's disgusting!,That's disgusting!,Dirty!!!!Dirty!!!Dirty!,Gross!
213650,1343997,Why do you love me?,Why do you love me?,Why do you love me?,Why do you love me?,Why do you love me?
214904,1359933,As you wish.,As you wish! As you wish.,As you wish.,Whatever you want.,As you wish. As you wish. As you wish.
215478,1369314,I have just finished eating.,I just ate.,I've just finished eating.. I've just finished eating.,I just finished eating.,I just finished eating.
215598,1370839,I want to eat ice cream.,I want to eat ice cream.,I want to eat ice cream.,I want to eat ice cream.,I want to eat ice cream.
215735,1383444,He's a DJ.,He's a DJ.,"He's a DJ, he's a DJ.",He's a DJ.,He's a DJ. He's a record publisher.
215944,1387288,What are you waiting for?,What are you waiting for? What are you waiting for?,What are you waiting for?,What are you waiting for?: What are you waiting for?: What are you waiting for?: What are you waiting for?,What are you waiting for? What are you waiting for? What are you waiting for?
216431,1394814,Hold the ball with both hands.,Hold the ball with two hands.,Hold the ball with both hands.,Hold the ball with both hands.,Hold the ball with both hands.
216537,1396177,I'm afraid of dogs.,I'm afraid of dogs.,I'm afraid of dogs.,I'm afraid of dogs.,I'm afraid of dogs. I'm afraid of dogs. I'm afraid of dogs.
216548,1396235,She wants to know who sent the flowers.,"She wants to know who sent the flowers, and she's curious about who sent the flowers.",He wants to know who sent the flowers.,She wants to know who sent the flowers.,She wants to know who sent the flowers. She is curious about who probably sent the flowers to her.
216560,1396333,It's already eleven.,It's 11:00.,It's 11 o'clock.,It's already eleven o'clock.,It's already 11 o'clock. It's already 11 o'clock.
216601,1396428,You look just like your older brother.,You look like your older brother.,You look just like your big brother.,You look a lot like your older brother.,You look very much like your older brother. 的 You look just like your big brother. 的 You look just like your older brother.
216827,1399479,Burj Khalifa is currently the tallest skyscraper in the world.,Burj Khalifa is currently the highest skyscraper in the world.,Burj Khalifa is currently the world's highest skyscraper.,"The Burj Khalifa is currently the world's tallest skyscraper, and Burj Khalifa is currently the world's largest skyscraper.",Burj Khalifa is currently the tallest skyscraper in the world. Today Burj Khalifa is the tallest skyscraper in the world.
217712,1417464,Are you coming?,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on...",Are you coming?,Are you coming?,Are you coming?
218072,1423299,"In Japan, the new school year begins in April.","In Japan, the new school year begins in April.","In Japan, the new academic year begins in April.","In Japan, the new school year begins in April.","In Japan, the new school year begins in April. In Japan, the new school year begins in April."
218529,1435651,It rained.,It was raining.,It was raining.,It rained.,It was raining.
219095,1442219,She disappeared.,She disappeared.,He's gone.,She's gone.,She disappeared.
219405,1446280,He also speaks French.,He also speaks French.,He also speaks French.,"He also speaks French, he also speaks French, and he also speaks French.",He also speaks French.
219409,1446444,Something happened.,Something's happened.,Something happened.,Something happened.: Something happened.: Something happened.: something happened.: something happened.: something happened.: something happened.: something happened.,Something happened.
220201,1458036,Today is Wednesday.,Today's Wednesday.,It's Wednesday.,"Today's Wednesday, today's Wednesday, today's Wednesday, today's Wednesday.",Today's Wednesday.
221956,1486456,Be patient.,Be patient.,"Be patient, be patient, be patient, be patient, be patient.",Be patient.,Be patient!
222335,1488808,Tom was crying.,Tom was crying.,"Tom was crying, and he was crying, and he was crying, and he was screaming, and he was screaming.",Tom was crying.,Tom cried. Tom cried. Tom cried.
223223,1495917,Eat slowly.,Eat slowly. Eat slowly!,Eat slowly.,Eat slowly.,Eat slowly!
225703,1531064,Tom nodded.,Tom nodded.,Tom nodded.,Tom nodded his head.,Tom nodded.
227491,1553393,Step back.,Step back.,Back off.. Give me some space.,Back off!,Step back!
227624,1553532,Call me.,Call me!,Call me.,Call me!,Call me.
227821,1556167,We know.,We know.,We know.,We know.,We know that. We already know that.
231006,1627336,Welcome back.,Welcome back!,Welcome back.,Be welcome again!!!!: Welcome again!:::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::,Welcome back! I'm glad you're back!
233097,1660856,Tom is taking a shower.,Tom's taking a shower.,Tom's in the shower.,Tom's in the shower.,Tom is showering. Tom is taking a shower room.
236777,1722133,Relax.,"Relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax.",Relax.,"Relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax, relax.",Relax.
237610,1730009,Call home!,Call home!,Call home!,Call at home!!!!!Call at home!!!!Call at home!!!!!Call at home!!!!!Call at home!!!!!Call at home!!!!!Call at home!!!,Call home! Call home!
237953,1738962,Stop reading.,Stop reading.,Stop reading.,"Stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading, stop reading.",Stop reading.
242693,1802121,Speak!,Speak!,"Speak, speak, speak, speak, speak, speak, speak!",Speak!,Speak!
242828,1804273,Look!,Look!,Look!,Look!,Look!
243443,1815066,Keep reading.,Read on.,Continue reading.? Continue reading!,Continue to read!: Continue to read!: Read more.,Read on. - Read on! - Read on.
245105,1830623,Horses eat grass.,Horses eat grass.,Horses eat grass.. Horses eat hay.,Horses eat grass.,Horses eat grass.
245942,1841177,Hurry home.,Hurry home.,Hurry home.,Hurry up and go to your place!,Go home quickly. - Go home quickly.
245945,1841180,Release him.,"Let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go, let him go!","Release him, release him, release him, release him, release him, release him.","Let him go, let him go, let him go!",Release him!
245953,1841188,Wait here.,Wait here.,Wait here.,"Wait here, wait there, wait here, wait here, wait there.","Wait here, wait here, wait here, wait here."
246160,1841588,See you later.,See you again!,I'll see you later.,I'll see you later.,I'll see you around.
247598,1860499,Don't die.,Don't die. Don't die.,Don't die.,Don't die!,Don't die!
248927,1868480,Ignore Tom.,Ignore Tom.,Don't worry about Tom.,Ignore Tom! Ignore Tom!,Ignore Tom.
249534,1876041,Thank you.,Thank you! Thank you. Thank you. Thank you.,Thank you.,"Thank you, thank you, thank you. Thank you.",Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you.
250870,1886145,Did you kill Tom?,Did you kill Tom? Did you kill Tom? Did you kill Tom? Did you kill Tom?,Did you kill Tom?,Did you kill Tom?,Did you kill Tom? Did you kill Tom? Did you kill Tom?
252009,1887384,I have to go.,I gotta go.,I have to go.,"I've got to go, I have to go, I have to go, I have to go, I have to go, I have to go, I have to go.",I have to go. I have to go. I have to go.
